Jan	10	21	1
Jan	16	10	1
Jan	19	19	1
Jan	22	1	1
Jan	22	7	1
Jan	22	9	1
Jan	22	20	1
Jan	22	23	1
Jan	23	0	1
Jan	23	1	2
Jan	23	3	1
Jan	23	4	3
Jan	23	5	3
Jan	23	6	4
Jan	23	7	2
Jan	23	8	3
Jan	23	9	3
Jan	23	10	8
Jan	23	11	9
Jan	23	12	12
Jan	23	13	8
Jan	23	14	8
Jan	23	15	5
Jan	23	16	10
Jan	23	17	4
Jan	23	18	3
Jan	23	19	4
Jan	23	20	4
Jan	23	21	5
Jan	23	22	8
Jan	23	23	9
Jan	24	0	5
Jan	24	1	2
Jan	24	3	5
Jan	24	4	5
Jan	24	5	5
Jan	24	6	3
Jan	24	7	4
Jan	24	8	5
Jan	24	9	4
Jan	24	10	4
Jan	24	11	5
Jan	24	12	6
Jan	24	13	7
Jan	24	14	11
Jan	24	15	8
Jan	24	16	6
Jan	24	17	6
Jan	24	18	9
Jan	24	19	9
Jan	24	20	1
Jan	24	21	10
Jan	24	22	7
Jan	24	23	7
Jan	25	0	9
Jan	25	1	6
Jan	25	2	8
Jan	25	3	3
Jan	25	4	6
Jan	25	5	8
Jan	25	6	3
Jan	25	7	13
Jan	25	8	24
Jan	25	9	26
Jan	25	10	16
Jan	25	11	28
Jan	25	12	34
Jan	25	13	64
Jan	25	14	63
Jan	25	15	86
Jan	25	16	92
Jan	25	17	95
Jan	25	18	96
Jan	25	19	108
Jan	25	20	96
Jan	25	21	109
Jan	25	22	91
Jan	25	23	110
Jan	26	0	83
Jan	26	1	64
Jan	26	2	24
Jan	26	3	37
Jan	26	4	32
Jan	26	5	22
Jan	26	6	25
Jan	26	7	30
Jan	26	8	41
Jan	26	9	50
Jan	26	10	48
Jan	26	11	32
Jan	26	12	49
Jan	26	13	96
Jan	26	14	84
Jan	26	15	98
Jan	26	16	113
Jan	26	17	88
Jan	26	18	77
Jan	26	19	106
Jan	26	20	132
Jan	26	21	129
Jan	26	22	186
Jan	26	23	85
Jan	27	0	73
Jan	27	1	41
Jan	27	2	23
Jan	27	3	46
Jan	27	4	26
Jan	27	5	28
Jan	27	6	34
Jan	27	7	35
Jan	27	8	38
Jan	27	9	53
Jan	27	10	50
Jan	27	11	58
Jan	27	12	59
Jan	27	13	65
Jan	27	14	68
Jan	27	15	78
Jan	27	16	88
Jan	27	17	91
Jan	27	18	90
Jan	27	19	63
Jan	27	20	94
Jan	27	21	83
Jan	27	22	117
Jan	27	23	190
Jan	28	0	160
Jan	28	1	147
Jan	28	2	145
